document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_taz_workhorse_user_manual.pdf,90,105,84,250
lulzbot_taz_workhorse_user_manual.pdf,90,105,85,1019
lulzbot_taz_workhorse_user_manual.pdf,90,105,86,111
lulzbot_taz_workhorse_user_manual.pdf,90,105,87,661
lulzbot_taz_workhorse_user_manual.pdf,90,105,88,229
lulzbot_taz_workhorse_user_manual.pdf,90,105,89,67
lulzbot_taz_workhorse_user_manual.pdf,90,105,90,595
lulzbot_taz_workhorse_user_manual.pdf,90,105,91,1500
lulzbot_taz_workhorse_user_manual.pdf,90,105,92,961
lulzbot_taz_workhorse_user_manual.pdf,90,105,93,98
lulzbot_taz_workhorse_user_manual.pdf,90,105,94,62
lulzbot_taz_workhorse_user_manual.pdf,90,105,95,204
lulzbot_taz_workhorse_user_manual.pdf,90,105,96,76
lulzbot_taz_workhorse_user_manual.pdf,90,105,97,12
lulzbot_taz_workhorse_user_manual.pdf,90,105,98,152
lulzbot_taz_workhorse_user_manual.pdf,90,105,99,53
lulzbot_taz_workhorse_user_manual.pdf,90,105,100,16
lulzbot_taz_workhorse_user_manual.pdf,90,105,101,62
lulzbot_taz_workhorse_user_manual.pdf,90,105,102,53
lulzbot_taz_workhorse_user_manual.pdf,90,105,103,43
lulzbot_taz_workhorse_user_manual.pdf,90,105,104,160
lulzbot_taz_pro_user_manual.pdf,90,105,0,43
lulzbot_taz_pro_user_manual.pdf,90,105,1,116
lulzbot_taz_pro_user_manual.pdf,90,105,2,1500
lulzbot_taz_pro_user_manual.pdf,90,105,3,81
lulzbot_taz_pro_user_manual.pdf,90,105,4,61
lulzbot_taz_pro_user_manual.pdf,90,105,5,273
lulzbot_taz_pro_user_manual.pdf,90,105,6,54
lulzbot_taz_pro_user_manual.pdf,90,105,7,75
lulzbot_taz_pro_user_manual.pdf,90,105,8,232
lulzbot_taz_pro_user_manual.pdf,90,105,9,231
lulzbot_taz_pro_user_manual.pdf,90,105,10,264
lulzbot_taz_pro_user_manual.pdf,90,105,11,185
lulzbot_taz_pro_user_manual.pdf,90,105,12,44
lulzbot_taz_pro_user_manual.pdf,90,105,13,115
lulzbot_taz_pro_user_manual.pdf,90,105,14,501
lulzbot_taz_pro_user_manual.pdf,90,105,15,76
lulzbot_taz_pro_user_manual.pdf,90,105,16,16
lulzbot_taz_pro_user_manual.pdf,90,105,17,324
lulzbot_taz_pro_user_manual.pdf,90,105,18,94
lulzbot_taz_pro_user_manual.pdf,90,105,19,427
lulzbot_taz_pro_user_manual.pdf,90,105,20,271
lulzbot_taz_pro_user_manual.pdf,90,105,21,283
lulzbot_taz_pro_user_manual.pdf,90,105,22,128
lulzbot_taz_pro_user_manual.pdf,90,105,23,821
